artNr,Namn,Pris
0001,Stol Brun,13223
0002,Stol Blå,18085
0003,Stol Grön,15499
0004,Stol Röd,10947
0005,Stol Orange,16872
0006,Stol Lila,11967
0007,Stol Grå,10957
0008,Bord Brun,12629
0009,Bord Grön,15259
0010,Bord Blå,18614
0011,Bord Orange,19844
0012,Bord Lila,16548
0013,Bord Grå,15185
0014,Bord Röd,16889
0015,Soffa Svart,16182
0016,Soffa Orange,10443
0017,Soffa Brun,15759
0018,Soffa Blå,10218
0019,Soffa Röd,11089
0020,Soffa Lila,11266
0021,Hylla Svart,19766
0022,Hylla Brun,10758
0023,Hylla Orange,10596
0024,Hylla Blå,19679
0025,Hylla Röd,11237
